idTransaccion,monto,tipoPago,montoRecibido,cbuAliasDestino,bancoOrigen,tokenTarjeta,marca,cuotas
TX-1001,48137.3,EFECTIVO,49620.4,,,,,
TX-1002,18744.44,EFECTIVO,20217.38,,,,,
TX-1003,50914.11,TARJETA,,,,tok_visa_719176,Visa Debito,1
TX-1004,2867.81,EFECTIVO,3305.09,,,,,
TX-1005,38148.97,EFECTIVO,39271.46,,,,,
TX-1006,53843.46,TARJETA,,,,tok_amex_539898,Mastercard Black,12
TX-1007,44400.29,EFECTIVO,45917.9,,,,,
TX-1008,12394.62,TRANSFERENCIA,,alias.pago.448,Banco Nación,,,
TX-1009,12083.22,TRANSFERENCIA,,alias.pago.204,Banco Galicia,,,
TX-1010,28804.58,TRANSFERENCIA,,alias.pago.967,Banco Nación,,,
TX-1011,45477.59,EFECTIVO,46937.05,,,,,
TX-1012,40448.99,TRANSFERENCIA,,alias.pago.180,Macro,,,
TX-1013,22341.78,TARJETA,,,,tok_amex_479201,Mastercard Black,1
TX-1014,3913.92,EFECTIVO,5460.06,,,,,
TX-1015,73899.0,EFECTIVO,75631.97,,,,,
TX-1016,28819.4,TRANSFERENCIA,,alias.pago.750,Banco Nación,,,
TX-1017,12617.73,TRANSFERENCIA,,alias.pago.314,Banco Nación,,,
TX-1018,52785.61,TARJETA,,,,tok_amex_174870,Mastercard Black,3
TX-1019,12673.49,TRANSFERENCIA,,alias.pago.376,Macro,,,
TX-1020,16861.33,TRANSFERENCIA,,alias.pago.963,Banco Galicia,,,
TX-1021,17564.08,EFECTIVO,19174.17,,,,,
TX-1022,30386.78,EFECTIVO,30808.75,,,,,
TX-1023,70746.77,TARJETA,,,,tok_master_322955,Visa Debito,1
TX-1024,29974.58,TARJETA,,,,tok_master_249811,American Express,3
TX-1025,18873.75,TARJETA,,,,tok_amex_375504,Visa Debito,1
TX-1026,67387.8,TRANSFERENCIA,,alias.pago.470,Banco Santander,,,
TX-1027,74800.77,EFECTIVO,75819.82,,,,,
TX-1028,7272.75,EFECTIVO,8994.96,,,,,
TX-1029,11886.68,EFECTIVO,13470.84,,,,,
TX-1030,31950.92,EFECTIVO,32720.45,,,,,
TX-1031,44893.69,TRANSFERENCIA,,alias.pago.641,Banco Nación,,,
TX-1032,72845.34,EFECTIVO,74205.91,,,,,
TX-1033,9034.1,TARJETA,,,,tok_master_905934,American Express,1
TX-1034,22365.76,EFECTIVO,23273.21,,,,,
TX-1035,71559.29,TARJETA,,,,tok_master_624902,Mastercard Black,1
TX-1036,65353.63,TRANSFERENCIA,,alias.pago.961,Macro,,,
TX-1037,45868.28,EFECTIVO,46616.11,,,,,
TX-1038,12535.4,TARJETA,,,,tok_visa_728038,American Express,12
TX-1039,1951.02,TRANSFERENCIA,,alias.pago.999,Banco Nación,,,
TX-1040,18339.2,EFECTIVO,20095.22,,,,,
TX-1041,71047.73,EFECTIVO,72511.55,,,,,
TX-1042,61293.73,TARJETA,,,,tok_visa_234628,Visa Debito,1
TX-1043,71040.23,EFECTIVO,71570.34,,,,,
TX-1044,65496.26,TRANSFERENCIA,,alias.pago.316,Macro,,,
TX-1045,56767.26,TARJETA,,,,tok_visa_847581,American Express,12
TX-1046,74638.63,TARJETA,,,,tok_master_559381,Visa Debito,1
TX-1047,9514.81,EFECTIVO,9642.86,,,,,
TX-1048,2067.05,TARJETA,,,,tok_visa_717024,Mastercard Black,1
TX-1049,5788.98,TARJETA,,,,tok_visa_340062,Visa Gold,1
TX-1050,64542.84,EFECTIVO,65571.15,,,,,
TX-1051,21246.56,TRANSFERENCIA,,alias.pago.319,Macro,,,
TX-1052,10357.23,TARJETA,,,,tok_amex_595631,Mastercard Black,12
TX-1053,60658.53,EFECTIVO,60847.18,,,,,
TX-1054,49594.21,TRANSFERENCIA,,alias.pago.533,BBVA,,,
TX-1055,35293.34,TARJETA,,,,tok_visa_806073,Visa Gold,1
TX-1056,30495.29,TRANSFERENCIA,,alias.pago.919,Banco Galicia,,,
TX-1057,19024.9,EFECTIVO,20097.47,,,,,
TX-1058,10943.58,EFECTIVO,11500.67,,,,,
TX-1059,19110.58,EFECTIVO,19996.84,,,,,
TX-1060,64670.51,TARJETA,,,,tok_visa_153045,Visa Gold,1
TX-1061,69514.34,EFECTIVO,69846.96,,,,,
TX-1062,36680.26,EFECTIVO,38409.56,,,,,
TX-1063,67731.99,EFECTIVO,68489.94,,,,,
TX-1064,73905.51,TRANSFERENCIA,,alias.pago.902,BBVA,,,
TX-1065,21751.07,TARJETA,,,,tok_amex_921414,Visa Debito,1
TX-1066,12032.36,TRANSFERENCIA,,alias.pago.322,Banco Galicia,,,
TX-1067,43648.93,TARJETA,,,,tok_visa_884309,American Express,1
TX-1068,4235.6,TRANSFERENCIA,,alias.pago.614,Macro,,,
TX-1069,12228.74,TARJETA,,,,tok_visa_992697,Mastercard Black,1
TX-1070,44830.12,TARJETA,,,,tok_visa_523389,Visa Gold,3
TX-1071,43629.47,EFECTIVO,44868.23,,,,,
TX-1072,31732.26,TARJETA,,,,tok_amex_648177,American Express,6
TX-1073,15717.31,TARJETA,,,,tok_master_350280,American Express,12
TX-1074,10250.43,TARJETA,,,,tok_master_579434,American Express,1
TX-1075,1194.0,TARJETA,,,,tok_amex_204837,Visa Gold,3
TX-1076,38188.41,EFECTIVO,40054.93,,,,,
TX-1077,66124.38,EFECTIVO,66863.43,,,,,
TX-1078,12252.14,TARJETA,,,,tok_amex_417212,Visa Gold,6
TX-1079,69915.82,EFECTIVO,71793.68,,,,,
TX-1080,10504.69,EFECTIVO,12284.12,,,,,
TX-1081,55810.04,EFECTIVO,56354.74,,,,,
TX-1082,45559.82,TARJETA,,,,tok_master_313487,American Express,12
TX-1083,19208.53,EFECTIVO,19393.13,,,,,
TX-1084,32056.4,TRANSFERENCIA,,alias.pago.145,Banco Galicia,,,
TX-1085,25349.96,EFECTIVO,26624.19,,,,,
